epoch,train_loss,val_loss,val_mIoU,time_sec
1,0.41966337527575615,0.27305844691064624,0.5463282346031418,27.61115264892578
2,0.23406722873752012,0.2416379318561083,0.5522928308060594,25.794078826904297
3,0.21098678356796838,0.23189758073400568,0.5577518698818513,24.756378650665283
4,0.20128923537572138,0.2269538942678475,0.5608646409850306,23.457648515701294
5,0.1958271750677689,0.22268706056070917,0.5635452691831592,24.459482192993164
6,0.19159837995637682,0.2220165663663252,0.5637069117807384,27.709489107131958
7,0.18839983156576218,0.21933035729108033,0.5656725546726237,25.460973024368286
8,0.1861432648248277,0.21894228885203232,0.5658732716258864,24.81929326057434
9,0.18432701598917295,0.2189728304191872,0.5653975751047888,23.16633701324463
10,0.1829068333466826,0.21731414220951223,0.5671714122530119,22.370638608932495
11,0.18134749893251434,0.21652525582431276,0.5675036087112931,28.00412631034851
12,0.17979304922778888,0.21587982100469094,0.5683056140641894,26.323688745498657
13,0.1787132891920154,0.2151081031487312,0.5690661778920153,23.828707456588745
14,0.17808292054341385,0.21504968938268262,0.5701474013896126,22.86164116859436
15,0.1767173361645732,0.21565095635108006,0.568345015816732,23.05405354499817
16,0.17551183837179363,0.21461233732141094,0.5697999263723038,29.420339345932007
17,0.1751494466309491,0.21405000263526117,0.5706652587008959,25.61651587486267
18,0.17430300027696502,0.21367639163394034,0.5710072041159265,24.15617609024048
19,0.17334527863665594,0.2138907339101956,0.5715953733793104,23.81912350654602
20,0.17310200138321755,0.21539063534618896,0.5690549795589441,24.19016671180725
21,0.17022362517894968,0.21441481565987622,0.5710179394239493,30.934576272964478
22,0.16966210149030192,0.21404716515982591,0.5718934999798696,25.563429594039917
23,0.168953928209876,0.21440631640546115,0.5718990714086751,24.562199115753174
24,0.16911736900928157,0.21425180549238934,0.571868343926369,23.72176432609558
25,0.16911852407628875,0.2149806422583851,0.5708939713938159,28.236162185668945
26,0.16899443968962813,0.2146617387179975,0.5716405324553951,25.197715520858765
27,0.168924316268945,0.2149258746777052,0.5712207323829305,23.807054042816162
28,0.16822886726717487,0.2150615790008027,0.5715063752707391,23.1759774684906
29,0.16842576406943152,0.21449758874045477,0.5723047363625836,23.421274185180664
30,0.16813540313471617,0.21491899023085465,0.5715997226264398,27.53088068962097
31,0.16854082384984506,0.21490157905184193,0.5718319002925862,25.236324548721313
32,0.16825110491670947,0.21469818188084497,0.5718420863557644,24.648536205291748
33,0.1679772474495487,0.21520746420195072,0.5710523889040937,23.599196672439575
34,0.16779974785654092,0.21511954448105378,0.5715962005550779,23.222980737686157
35,0.16767771822261573,0.21487934346552248,0.5718656089440168,28.020215034484863
36,0.1675759925681616,0.2144337961703171,0.5725283195807402,26.810218572616577
37,0.1674993470405243,0.21441849006546868,0.572713880560903,23.761152744293213
38,0.167562448238888,0.2147531768422068,0.5722944381589669,22.829851865768433
39,0.16789316301518603,0.21458287102940643,0.572541966192153,23.101410150527954
40,0.16729597906031649,0.21470018415539352,0.5723858451623239,28.95087432861328
41,0.16716226446589302,0.2146463218294544,0.5724616158953258,26.018613815307617
42,0.16685064761579085,0.21447838125405488,0.5727213133409451,24.01156783103943
43,0.16674532093191552,0.2147003479577877,0.572424141492305,23.730014085769653
44,0.16691142287501062,0.21470359221652702,0.5724325875391475,23.349404096603394
45,0.16629208828880668,0.21464351121290232,0.5725792455226789,31.11324191093445
46,0.1666455042499649,0.21476191790015609,0.5724282091991357,24.941815853118896
47,0.16668758503100783,0.21464393918896899,0.5726325411150537,23.717442274093628
48,0.16675603942346873,0.21471698059711927,0.5725258346858337,22.99647331237793
49,0.1665544777765007,0.21475168036090003,0.5725094194223204,25.309841871261597
50,0.16693038413428424,0.21481917103131612,0.5723738826142372,28.58109188079834
51,0.16672036476738009,0.21483197068726576,0.5723862677670046,25.2358181476593
52,0.16701849625475812,0.21480964955724316,0.5724137673034759,23.12140727043152
