epoch,train_loss,train_acc,val_loss,val_acc,val_iou_avg,val_iou_class0,val_iou_class1,val_iou_class2,val_dice_avg,val_dice_class0,val_dice_class1,val_dice_class2,test_loss,test_acc,test_iou,test_dice_avg
1,0.10746745024936591,0.9582658616767792,0.08026573545641814,0.9658407371467455,0.8930716373982593,0.9568929683085162,0.8693737137097802,0.8529482301764814,0.9429113268852234,0.9779717922210693,0.930122971534729,0.9206390380859375,,,,
2,0.07717524120112948,0.9671874080558568,0.07281279818637097,0.9687522549085716,0.9009156542547604,0.9606161079978423,0.8787919915701541,0.863338863196285,0.9473521709442139,0.9799123406410217,0.9354861974716187,0.9266579151153564,,,,
3,0.0703982531659953,0.969790791699778,0.06762102782991328,0.9708594374284731,0.9072795464758854,0.9632656085884883,0.8884998299559083,0.8700732008832593,0.950923502445221,0.9812890291213989,0.9409583210945129,0.9305232167243958,,,,
4,0.06512522425230136,0.9719195607843789,0.06384958441667406,0.9724594279913361,0.9126939234861838,0.9651945428964089,0.8961981465497831,0.8766890810123595,0.9539467692375183,0.9822890758514404,0.9452579617500305,0.9342933893203735,,,,
5,0.061924967813589006,0.9732537207665382,0.06175256645667694,0.9733771831650614,0.9154280038868793,0.9663731482453577,0.9007465971268183,0.879164266288462,0.9554592967033386,0.9828989505767822,0.9477819204330444,0.935697078704834,,,,
6,0.058689718351887146,0.9745830306028314,0.05980598445054099,0.9741225732260388,0.9173367238814221,0.9673242274028532,0.9020609995410934,0.8826249447003197,0.9565176963806152,0.9833906292915344,0.9485090374946594,0.9376534819602966,,,,
7,0.05640356741263991,0.975528372096623,0.058767078584244126,0.9746385854204268,0.9191553600580543,0.967932434700901,0.9043182598589692,0.8852153856142927,0.9575245380401611,0.9837049245834351,0.9497554302215576,0.9391132593154907,,,,
8,0.05470594322757994,0.9762327460845728,0.05666173730236975,0.9755489505990298,0.9219665349721403,0.9690779192663135,0.9082940728015648,0.8885276128485429,0.9590712189674377,0.9842962026596069,0.9519434571266174,0.9409739375114441,,,,
9,0.052995840866089224,0.9769562129446641,0.056435989694515236,0.9756508695124387,0.9222627402817202,0.9691879415717235,0.9079526662448965,0.8896476130285405,0.9592368006706238,0.9843528270721436,0.951755940914154,0.9416016340255737,,,,
10,0.051334939827119175,0.9776519002419782,0.05513935934443012,0.9762754348763498,0.9242734264247608,0.9699819323638859,0.9114550332370681,0.8913833136733286,0.9603373408317566,0.9847622513771057,0.953676700592041,0.9425729513168335,,,,
11,0.05025726592668844,0.9781054802707119,0.060969213406617935,0.9743815479984762,0.9186768118873953,0.9675328425753493,0.9028137608988214,0.8856838321880152,0.9572668075561523,0.9834985733032227,0.9489249587059021,0.9393768310546875,,,,
12,0.049442431123802075,0.9784700178740399,0.05419762042376835,0.9767691170754832,0.9259281922509285,0.970560197281206,0.9126971894544187,0.894527190017161,0.9612479209899902,0.9850600361824036,0.9543561935424805,0.9443276524543762,,,,
13,0.048153485944531414,0.9790028292603711,0.0532617382778834,0.9771435352893783,0.9272016400164093,0.971028919468511,0.9150599048230567,0.8955160957576598,0.9619420170783997,0.9853015542030334,0.955646276473999,0.9448782801628113,,,,
14,0.04817559206011621,0.9790929726768888,0.05318894020093995,0.9772666985924959,0.9273006844747083,0.9712088233249201,0.9145600500606551,0.8961331800385496,0.9619964957237244,0.9853940606117249,0.9553735852241516,0.9452217221260071,,,,
15,0.046621947470139494,0.9796549655587825,0.052398030797071136,0.9774886347684608,0.9282957913741626,0.9714511029969509,0.9163026593897129,0.897133611735824,0.9625401496887207,0.9855186939239502,0.9563236236572266,0.9457780122756958,,,,
16,0.04585262163626877,0.979984682548851,0.052414230972881844,0.9776789874542795,0.9288259121386341,0.971703620545904,0.9170607351887912,0.8977133806812068,0.9628283977508545,0.9856488108634949,0.9567362666130066,0.946100115776062,,,,
17,0.04569068098470215,0.980054504094205,0.052248462062814964,0.9776960001978805,0.9290382108004677,0.9716892994257729,0.9169725488861975,0.898452784089433,0.9629467129707336,0.9856414198875427,0.9566882848739624,0.9465104937553406,,,,
18,0.04469268724300232,0.9804712024592407,0.05178817102442617,0.9780021335767664,0.9297171340582094,0.9721321475099923,0.9185071193420841,0.8985121353225519,0.9633117318153381,0.9858691096305847,0.9575227499008179,0.9465435147285461,,,,
19,0.04432951126122486,0.9806371597914078,0.05192284546645262,0.978019060161197,0.9298410727868109,0.9721251781092016,0.9180096555181009,0.8993883847331302,0.9633825421333313,0.9858656525611877,0.9572523832321167,0.9470294713973999,,,,
20,0.043718707725670734,0.9808897163210795,0.051028320779324524,0.9782926721458254,0.9304055820840698,0.9725139994260582,0.9188999730633581,0.8998027737627928,0.9636869430541992,0.9860653877258301,0.9577361941337585,0.9472591280937195,,,,
21,0.04341142371355781,0.9810276793079664,0.05091878637053043,0.9783302695460595,0.9307442973217511,0.9725367127768157,0.9196958596242994,0.9000003195641382,0.963871419429779,0.9860771298408508,0.9581683874130249,0.9473686218261719,,,,
22,0.04307503018918422,0.981180715226277,0.05135490716593303,0.9783326672326849,0.9308086703150064,0.9725284555959295,0.9195386333046256,0.9003589220444639,0.9639077186584473,0.9860729575157166,0.9580829739570618,0.9475672841072083,,,,
23,0.042395429111457626,0.981464380139813,0.05107158488730197,0.9785235861073369,0.9314571701852686,0.9727499039824407,0.9201282971599034,0.9014933094134618,0.964261531829834,0.986186683177948,0.9584028124809265,0.9481950402259827,,,,
